Código Mês;Meta do mês - Qnt de melhorias;Meta acumulada de melhorias;Resultado mensal - Qnt de melhorias;Resultado acumulado de melhorias;Status do mês;Status geral da meta até o momento;Percentual acumulado;MêsTexto;Ano
1;2;2;2;2;Meta do mês Atingida;Faltam 28;0.0666666666666667;Janeiro;2025
2;2;4;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Fevereiro;2025
3;2;6;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Março;2025
4;2;8;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Abril;2025
5;2;10;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Maio;2025
6;2;12;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Junho;2025
7;3;15;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Julho;2025
8;3;18;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Agosto;2025
9;3;21;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Setembro;2025
10;3;24;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Outubro;2025
11;3;27;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Novembro;2025
12;3;30;0;2;Meta do mês não atingida;Faltam 28;0.0666666666666667;Dezembro;2025
